DATE,ALLSKY_KT,T2M,PRECTOTCORR,PS,WS10M
1/1/2024,0.63,19.37,0.03,88.12,0.91
2/1/2024,0.52,20.31,0,88.05,0.75
3/1/2024,0.59,20.21,0.31,87.88,0.7
4/1/2024,0.62,20.14,0.06,87.89,0.7
5/1/2024,0.66,20.26,4.22,87.94,0.88
6/1/2024,0.64,19.86,0.87,87.89,0.86
7/1/2024,0.64,20.37,0,87.82,0.77
8/1/2024,0.47,19.73,0.79,87.84,0.61
9/1/2024,0.52,20.04,0.49,87.87,0.61
10/1/2024,0.45,19.98,0,87.87,0.65
11/1/2024,0.6,20.34,0,87.79,0.55
12/1/2024,0.6,21.1,7.26,87.72,0.53
13/1/2024,0.56,20.74,8.92,87.8,0.62
14/1/2024,0.59,20.19,2.72,87.84,0.7
15/1/2024,0.56,20.7,0.43,87.86,0.55
16/1/2024,0.56,20.76,0.72,87.93,0.61
17/1/2024,0.56,20.49,0.01,87.88,0.69
18/1/2024,0.53,20.62,26.35,87.91,0.66
19/1/2024,0.48,20.47,43.45,87.94,0.74
20/1/2024,0.48,20.08,6.14,88.03,0.8
21/1/2024,0.64,20.11,24.49,87.99,0.92
22/1/2024,0.61,20.49,3.68,87.94,0.66
23/1/2024,0.62,20.98,34.77,87.92,0.91
24/1/2024,0.47,21.08,16.43,87.85,0.55
25/1/2024,0.53,21.14,0.01,87.84,0.62
26/1/2024,0.51,21.28,0.14,87.83,0.6
27/1/2024,0.45,20.9,38.42,87.86,0.71
28/1/2024,0.39,19.23,12.73,88.01,0.7
29/1/2024,0.64,20.46,0.01,87.89,0.73
30/1/2024,0.58,20.48,0,87.86,0.74
31/1/2024,0.59,20.96,0.02,87.87,0.58
1/2/2024,0.53,20.12,21.03,87.96,0.64
2/2/2024,0.51,19.66,0.56,88,1.05
3/2/2024,0.62,19.67,0.02,87.9,1.05
4/2/2024,0.55,19.25,0,87.88,0.66
5/2/2024,0.47,20.17,11.77,87.91,0.49
6/2/2024,0.4,19.36,13.8,87.99,0.84
7/2/2024,0.56,19.38,0.72,88.04,0.72
8/2/2024,0.55,19.66,0,87.98,0.73
9/2/2024,0.53,20.01,13.21,87.95,0.93
10/2/2024,0.39,20.33,2.67,87.95,0.59
11/2/2024,0.55,20.98,0.09,87.98,0.53
12/2/2024,0.48,20.36,36.78,87.97,0.59
13/2/2024,0.52,20.2,11.69,87.94,0.59
14/2/2024,0.35,20.28,5.65,88.03,0.65
15/2/2024,0.56,20.65,5.32,88.04,0.79
16/2/2024,0.58,19.95,0.05,88.07,0.78
17/2/2024,0.4,18.47,0.57,88.06,0.56
18/2/2024,0.46,20.01,1.2,87.99,0.8
19/2/2024,0.66,19.9,0.01,87.97,1.3
20/2/2024,0.66,19.29,0.06,88.03,1.41
21/2/2024,0.63,19.73,3.07,88.06,1.41
22/2/2024,0.41,19.23,0.68,87.99,0.92
23/2/2024,0.63,20.98,0,87.88,1.14
24/2/2024,0.6,21.47,6.75,87.83,0.66
25/2/2024,0.58,20.53,4.41,87.88,0.91
26/2/2024,0.67,21.26,22.4,87.84,0.8
27/2/2024,0.55,19.97,22.84,87.81,0.64
28/2/2024,0.52,21.43,0,87.77,0.62
29/2/2024,0.55,20.58,4.83,87.85,0.6
1/3/2024,0.58,21.57,0.24,87.87,0.67
2/3/2024,0.63,21.36,0,87.86,0.82
3/3/2024,0.62,21.97,0,87.85,0.59
4/3/2024,0.48,20.11,9.2,87.9,0.59
5/3/2024,0.4,19.97,0.86,88.04,0.57
6/3/2024,0.43,20.25,0.02,88.07,0.83
7/3/2024,0.55,21.36,0.02,87.96,0.75
8/3/2024,0.57,21.09,0.01,87.86,0.71
9/3/2024,0.55,20.65,21.68,87.87,0.64
10/3/2024,0.49,20.53,7.59,87.97,0.52
11/3/2024,0.52,21.26,9.69,88.03,0.71
12/3/2024,0.66,21.37,0.31,87.99,0.78
13/3/2024,0.66,21.33,0,87.86,0.89
14/3/2024,0.59,21.32,12.54,87.86,0.95
15/3/2024,0.5,20.9,1.31,87.94,0.87
16/3/2024,0.47,19.94,4.69,88.06,0.69
17/3/2024,0.62,20.69,0.25,87.98,0.83
18/3/2024,0.59,20.27,0,87.94,0.73
19/3/2024,0.63,20.97,0,87.93,0.54
20/3/2024,0.58,20.26,0.04,87.95,0.55
21/3/2024,0.61,20.49,0.7,87.92,0.48
22/3/2024,0.56,19.98,0.92,87.83,0.52
23/3/2024,0.59,20.7,0.12,87.68,0.7
24/3/2024,0.55,21.12,4.4,87.62,0.55
25/3/2024,0.39,20.16,39.32,87.83,0.74
26/3/2024,0.5,21.4,1.28,87.9,0.84
27/3/2024,0.48,21.64,0.01,87.85,0.7
28/3/2024,0.53,21.04,27.55,87.8,0.7
29/3/2024,0.49,21.2,7.97,87.89,0.54
30/3/2024,0.53,20.69,0.6,87.86,0.82
31/3/2024,0.48,21.43,0.62,87.84,0.76
1/4/2024,0.45,20.23,0.11,87.81,0.58
2/4/2024,0.42,21.2,0.14,87.89,0.55
3/4/2024,0.48,21.3,2.49,87.87,0.82
4/4/2024,0.52,19.33,10.23,87.94,0.67
5/4/2024,0.31,20.85,35.13,87.96,0.7
6/4/2024,0.45,20.65,21.43,87.89,0.62
7/4/2024,0.48,20.55,0.49,87.98,0.7
8/4/2024,0.45,20.85,37.02,87.98,0.64
9/4/2024,0.53,21.33,2.61,88.02,0.88
10/4/2024,0.57,21.05,0.14,87.99,0.58
11/4/2024,0.45,20.65,2.94,87.93,0.49
12/4/2024,0.47,20.84,109.73,87.83,0.55
13/4/2024,0.33,20.88,20.35,87.94,0.67
14/4/2024,0.51,21.93,0.26,87.97,0.59
15/4/2024,0.4,20.12,28.78,87.91,0.63
16/4/2024,0.33,20.33,100.24,87.95,0.59
17/4/2024,0.47,21.06,0.81,87.92,0.73
18/4/2024,0.51,21.01,10.41,87.86,0.47
19/4/2024,0.59,21.62,0.74,87.85,0.9
20/4/2024,0.57,21.55,0.15,87.84,0.84
21/4/2024,0.47,21.58,8.26,87.84,0.86
22/4/2024,0.33,20.28,9.4,87.88,0.7
23/4/2024,0.45,21.05,1.09,87.83,0.76
24/4/2024,0.48,21.2,15.35,87.82,0.66
25/4/2024,0.45,20.84,27.26,87.89,0.41
26/4/2024,0.46,20.4,4.85,87.94,0.58
27/4/2024,0.4,19.5,10.76,87.88,0.47
28/4/2024,0.52,19.86,10.88,87.87,0.81
29/4/2024,0.48,19.78,8.2,87.91,0.75
30/4/2024,0.42,19.37,4.25,87.89,1.04
1/5/2024,0.48,19.35,21.29,87.79,1.02
2/5/2024,0.47,19.55,27.24,87.84,0.9
3/5/2024,0.42,19.37,15.12,87.91,0.73
4/5/2024,0.51,20.63,14.14,87.89,0.79
5/5/2024,0.57,20.48,3.52,87.82,0.7
6/5/2024,0.3,21.04,38.08,87.76,0.73
7/5/2024,0.3,20.92,79.39,87.73,0.91
8/5/2024,0.41,20.84,66.47,87.73,0.89
9/5/2024,0.44,20.41,47.36,87.71,0.77
10/5/2024,0.34,20.64,19.3,87.82,0.54
11/5/2024,0.52,20.74,6.64,87.78,0.59
12/5/2024,0.47,21.05,17.35,87.76,0.61
13/5/2024,0.57,20.39,19.2,87.72,0.52
14/5/2024,0.58,21.58,8.57,87.59,0.56
15/5/2024,0.53,21.37,44.32,87.52,0.58
16/5/2024,0.36,20.68,6.27,87.73,1.29
17/5/2024,0.48,20.26,2.08,87.73,1.38
18/5/2024,0.3,19.73,36.09,87.76,0.98
19/5/2024,0.37,19.89,6,87.84,1.14
20/5/2024,0.38,19.28,0.25,87.89,0.71
21/5/2024,0.42,20.49,5.71,87.86,0.65
22/5/2024,0.46,20.44,1.06,87.9,0.76
23/5/2024,0.32,20.28,0.36,87.95,0.6
24/5/2024,0.5,19.77,10.47,88.04,0.91
25/5/2024,0.45,19.55,2.89,88.08,0.84
26/5/2024,0.62,20.88,0,87.99,0.56
27/5/2024,0.59,21.14,17.36,87.93,0.55
28/5/2024,0.27,20.82,22.73,87.93,0.56
29/5/2024,0.55,21.74,0.01,87.95,0.71
30/5/2024,0.44,20.99,1.42,87.97,0.4
31/5/2024,0.49,19.97,13.68,87.96,0.45
1/6/2024,0.41,19.78,8.7,87.92,0.48
2/6/2024,0.45,21.15,1.99,87.83,0.59
3/6/2024,0.46,20.2,10.55,87.89,0.46
4/6/2024,0.54,19.98,2.93,87.9,0.7
