DATE,ALLSKY_KT,T2M,PRECTOTCORR,PS,WS10M,Status
1/1/2017,0.34,19.01,27.45,87.77,0.81,BERPOTENSI UPWELLING
1/2/2017,0.45,18.76,14.49,87.79,0.73,TIDAK BERPOTENSI UPWELLING
1/3/2017,0.42,19.45,38.89,87.71,0.99,BERPOTENSI UPWELLING
1/4/2017,0.19,17.95,15.65,87.64,1.7,TIDAK BERPOTENSI UPWELLING
1/5/2017,0.3,18.47,40.1,87.58,2.1,BERPOTENSI UPWELLING
1/6/2017,0.23,18,33.9,87.58,2.49,BERPOTENSI UPWELLING
1/7/2017,0.27,18.54,17.6,87.57,1.57,TIDAK BERPOTENSI UPWELLING
1/8/2017,0.45,17.44,11.02,87.61,1.01,TIDAK BERPOTENSI UPWELLING
1/9/2017,0.48,17.01,0.53,87.68,1.14,TIDAK BERPOTENSI UPWELLING
1/10/2017,0.68,17.44,0,87.76,1.05,TIDAK BERPOTENSI UPWELLING
1/11/2017,0.52,18.04,4.11,87.81,0.7,TIDAK BERPOTENSI UPWELLING
1/12/2017,0.4,19.22,14.73,87.72,0.81,TIDAK BERPOTENSI UPWELLING
1/13/2017,0.42,18.8,8.7,87.73,0.46,TIDAK BERPOTENSI UPWELLING
1/14/2017,0.47,20.26,0.04,87.78,0.61,TIDAK BERPOTENSI UPWELLING
1/15/2017,0.6,19.48,0.09,87.87,0.7,TIDAK BERPOTENSI UPWELLING
1/16/2017,0.59,19.89,4.78,87.8,0.61,TIDAK BERPOTENSI UPWELLING
1/17/2017,0.48,20.01,10.55,87.76,0.58,TIDAK BERPOTENSI UPWELLING
1/18/2017,0.48,19.44,9.94,87.87,0.62,TIDAK BERPOTENSI UPWELLING
1/19/2017,0.45,19.92,6.08,87.87,0.48,TIDAK BERPOTENSI UPWELLING
1/20/2017,0.35,19.31,6.13,87.86,0.76,TIDAK BERPOTENSI UPWELLING
1/21/2017,0.4,19.28,1.14,87.94,0.69,TIDAK BERPOTENSI UPWELLING
1/22/2017,0.43,19.8,40.32,88.02,0.6,BERPOTENSI UPWELLING
1/23/2017,0.31,18.56,87.05,88,0.96,BERPOTENSI UPWELLING
1/24/2017,0.38,17.9,8.81,88.12,0.7,TIDAK BERPOTENSI UPWELLING
1/25/2017,0.56,18.88,11.09,88.07,0.95,TIDAK BERPOTENSI UPWELLING
1/26/2017,0.38,18.76,3.83,88.03,0.74,TIDAK BERPOTENSI UPWELLING
1/27/2017,0.47,18.82,17.38,87.93,0.52,TIDAK BERPOTENSI UPWELLING
1/28/2017,0.38,19.39,3.08,87.94,0.55,TIDAK BERPOTENSI UPWELLING
1/29/2017,0.58,19.54,0.08,87.98,0.59,TIDAK BERPOTENSI UPWELLING
1/30/2017,0.53,19.61,0,87.87,0.66,TIDAK BERPOTENSI UPWELLING
1/31/2017,0.48,19.48,1.5,87.79,0.55,TIDAK BERPOTENSI UPWELLING
2/1/2017,0.51,18.83,0.45,87.89,0.59,TIDAK BERPOTENSI UPWELLING
2/2/2017,0.55,19.67,0,87.98,0.57,TIDAK BERPOTENSI UPWELLING
2/3/2017,0.56,20.23,0.07,87.9,0.57,TIDAK BERPOTENSI UPWELLING
2/4/2017,0.52,20.25,0.58,87.84,0.44,TIDAK BERPOTENSI UPWELLING
2/5/2017,0.57,20.65,0.1,87.87,0.5,TIDAK BERPOTENSI UPWELLING
2/6/2017,0.59,19.92,9.21,87.92,0.76,TIDAK BERPOTENSI UPWELLING
2/7/2017,0.52,19.89,3.46,87.93,0.91,TIDAK BERPOTENSI UPWELLING
2/8/2017,0.5,20.18,0.1,87.9,0.86,TIDAK BERPOTENSI UPWELLING
2/9/2017,0.61,19.9,0.05,87.89,0.99,TIDAK BERPOTENSI UPWELLING
2/10/2017,0.64,19.62,0.81,87.85,0.88,TIDAK BERPOTENSI UPWELLING
2/11/2017,0.62,19.55,4.52,87.96,0.9,TIDAK BERPOTENSI UPWELLING
2/12/2017,0.49,19.35,11.14,88.01,1.01,TIDAK BERPOTENSI UPWELLING
2/13/2017,0.57,18.51,14.64,88.09,1.09,TIDAK BERPOTENSI UPWELLING
2/14/2017,0.52,18.68,6.86,88.18,1.44,TIDAK BERPOTENSI UPWELLING
2/15/2017,0.53,19.27,0.66,88.09,0.97,TIDAK BERPOTENSI UPWELLING
2/16/2017,0.56,19.43,3.15,87.98,0.88,TIDAK BERPOTENSI UPWELLING
2/17/2017,0.53,19.42,0.74,87.94,0.65,TIDAK BERPOTENSI UPWELLING
2/18/2017,0.5,19.23,0.72,88.01,0.55,TIDAK BERPOTENSI UPWELLING
2/19/2017,0.48,19.98,0.43,87.92,0.49,TIDAK BERPOTENSI UPWELLING
2/20/2017,0.39,20.58,15.78,87.79,0.52,TIDAK BERPOTENSI UPWELLING
2/21/2017,0.38,20.03,4,87.82,0.48,TIDAK BERPOTENSI UPWELLING
2/22/2017,0.49,20.35,0.19,87.89,0.62,TIDAK BERPOTENSI UPWELLING
2/23/2017,0.38,19.43,21.3,87.94,0.65,TIDAK BERPOTENSI UPWELLING
2/24/2017,0.48,20.05,17.51,87.99,0.59,TIDAK BERPOTENSI UPWELLING
2/25/2017,0.52,20.01,18.54,87.87,0.48,TIDAK BERPOTENSI UPWELLING
2/26/2017,0.39,19.48,11.05,87.79,0.8,TIDAK BERPOTENSI UPWELLING
2/27/2017,0.37,19.57,18.33,87.79,0.82,TIDAK BERPOTENSI UPWELLING
2/28/2017,0.42,19.3,9.03,87.75,0.59,TIDAK BERPOTENSI UPWELLING
3/1/2017,0.48,19.86,5.43,87.81,0.54,TIDAK BERPOTENSI UPWELLING
3/2/2017,0.42,19.33,5.96,87.81,0.77,TIDAK BERPOTENSI UPWELLING
3/3/2017,0.45,19.14,3.07,87.69,0.88,TIDAK BERPOTENSI UPWELLING
3/4/2017,0.41,20.34,1.16,87.68,0.62,TIDAK BERPOTENSI UPWELLING
3/5/2017,0.4,19.58,13.01,87.74,0.58,TIDAK BERPOTENSI UPWELLING
3/6/2017,0.49,19.83,2.74,87.78,0.59,TIDAK BERPOTENSI UPWELLING
3/7/2017,0.48,20.24,0.33,87.81,0.52,TIDAK BERPOTENSI UPWELLING
3/8/2017,0.64,20.86,0.19,87.77,0.65,TIDAK BERPOTENSI UPWELLING
3/9/2017,0.56,20.63,1.53,87.74,0.61,TIDAK BERPOTENSI UPWELLING
3/10/2017,0.59,20.6,0.68,87.76,0.88,TIDAK BERPOTENSI UPWELLING
3/11/2017,0.52,20.13,0.02,87.87,0.53,TIDAK BERPOTENSI UPWELLING
3/12/2017,0.64,20.94,0,87.9,0.74,TIDAK BERPOTENSI UPWELLING
3/13/2017,0.69,20.4,0,87.88,0.77,TIDAK BERPOTENSI UPWELLING
3/14/2017,0.65,20.37,0,87.9,0.47,TIDAK BERPOTENSI UPWELLING
3/15/2017,0.61,20.88,1.66,87.81,0.31,TIDAK BERPOTENSI UPWELLING
3/16/2017,0.37,19.8,4.73,87.87,0.66,TIDAK BERPOTENSI UPWELLING
3/17/2017,0.57,20.56,0.56,87.81,0.58,TIDAK BERPOTENSI UPWELLING
3/18/2017,0.48,20.09,0.53,87.89,0.52,TIDAK BERPOTENSI UPWELLING
3/19/2017,0.42,18.45,1.83,88.05,0.71,TIDAK BERPOTENSI UPWELLING
3/20/2017,0.41,17.82,25.68,88.06,0.77,BERPOTENSI UPWELLING
3/21/2017,0.54,19.12,0.03,88.01,0.79,TIDAK BERPOTENSI UPWELLING
3/22/2017,0.6,20.89,0,87.83,0.66,TIDAK BERPOTENSI UPWELLING
3/23/2017,0.5,20.99,6.3,87.79,0.56,TIDAK BERPOTENSI UPWELLING
3/24/2017,0.42,20.12,19.31,87.92,0.6,TIDAK BERPOTENSI UPWELLING
3/25/2017,0.52,20.4,5.02,87.94,0.67,TIDAK BERPOTENSI UPWELLING
3/26/2017,0.5,20.94,11.54,87.92,0.61,TIDAK BERPOTENSI UPWELLING
3/27/2017,0.41,20.38,25.62,87.99,0.65,BERPOTENSI UPWELLING
3/28/2017,0.42,19.94,21.22,88.02,0.5,TIDAK BERPOTENSI UPWELLING
3/29/2017,0.35,17.72,11.1,88.08,0.7,TIDAK BERPOTENSI UPWELLING
3/30/2017,0.5,19.54,0.66,88.05,0.59,TIDAK BERPOTENSI UPWELLING
3/31/2017,0.44,19.56,0.07,88.04,0.48,TIDAK BERPOTENSI UPWELLING
4/1/2017,0.32,19.46,10.08,87.97,0.88,TIDAK BERPOTENSI UPWELLING
4/2/2017,0.55,19.65,1.05,88.02,0.84,TIDAK BERPOTENSI UPWELLING
4/3/2017,0.55,20.03,9.95,88.03,0.66,TIDAK BERPOTENSI UPWELLING
4/4/2017,0.62,20.49,3.1,87.98,0.87,TIDAK BERPOTENSI UPWELLING
4/5/2017,0.59,19.84,3.38,87.87,1.12,TIDAK BERPOTENSI UPWELLING
4/6/2017,0.55,19.18,0.21,87.79,0.98,TIDAK BERPOTENSI UPWELLING
4/7/2017,0.38,20.48,0.5,87.76,1.06,TIDAK BERPOTENSI UPWELLING
4/8/2017,0.49,20.63,3.87,87.79,0.77,TIDAK BERPOTENSI UPWELLING
4/9/2017,0.53,19.67,2.63,87.82,0.73,TIDAK BERPOTENSI UPWELLING
4/10/2017,0.45,19.64,41.88,87.78,0.56,BERPOTENSI UPWELLING
4/11/2017,0.48,19.99,4.55,87.71,0.4,TIDAK BERPOTENSI UPWELLING
4/12/2017,0.36,20.8,7.8,87.69,0.49,TIDAK BERPOTENSI UPWELLING
4/13/2017,0.43,20.55,4.37,87.76,0.31,TIDAK BERPOTENSI UPWELLING
4/14/2017,0.55,20.97,3.88,87.78,0.41,TIDAK BERPOTENSI UPWELLING
4/15/2017,0.48,20.58,0.81,87.87,0.64,TIDAK BERPOTENSI UPWELLING
4/16/2017,0.5,20.69,0.01,87.88,0.66,TIDAK BERPOTENSI UPWELLING
4/17/2017,0.55,20.05,15.15,87.92,0.52,TIDAK BERPOTENSI UPWELLING
4/18/2017,0.53,19.93,2.66,87.93,0.62,TIDAK BERPOTENSI UPWELLING
4/19/2017,0.44,19.1,7.55,87.96,0.79,TIDAK BERPOTENSI UPWELLING
4/20/2017,0.48,19.8,6.74,87.96,0.52,TIDAK BERPOTENSI UPWELLING
4/21/2017,0.36,20.23,0.42,87.99,0.63,TIDAK BERPOTENSI UPWELLING
4/22/2017,0.5,20.85,4.4,87.94,0.8,TIDAK BERPOTENSI UPWELLING
4/23/2017,0.51,20.81,1.71,87.92,0.39,TIDAK BERPOTENSI UPWELLING
4/24/2017,0.41,20.23,0.53,87.97,0.59,TIDAK BERPOTENSI UPWELLING
4/25/2017,0.45,20.42,3.83,87.95,0.87,TIDAK BERPOTENSI UPWELLING
4/26/2017,0.36,19.84,1.61,87.93,0.62,TIDAK BERPOTENSI UPWELLING
4/27/2017,0.49,20.61,0.13,87.91,0.88,TIDAK BERPOTENSI UPWELLING
4/28/2017,0.41,19.87,0.17,87.96,0.75,TIDAK BERPOTENSI UPWELLING
4/29/2017,0.58,19.58,0.08,87.95,0.62,TIDAK BERPOTENSI UPWELLING
4/30/2017,0.54,20.91,1.18,87.92,0.34,TIDAK BERPOTENSI UPWELLING
5/1/2017,0.45,20.4,2.03,87.92,0.66,TIDAK BERPOTENSI UPWELLING
5/2/2017,0.47,21.28,6.46,87.96,0.65,TIDAK BERPOTENSI UPWELLING
5/3/2017,0.49,20.82,14.83,87.93,0.61,TIDAK BERPOTENSI UPWELLING
5/4/2017,0.38,21.44,3.35,87.94,0.41,TIDAK BERPOTENSI UPWELLING
5/5/2017,0.41,20.75,0.09,88.01,0.81,TIDAK BERPOTENSI UPWELLING
5/6/2017,0.48,20.22,0,88.06,0.88,TIDAK BERPOTENSI UPWELLING
5/7/2017,0.48,20.76,6.3,87.99,0.76,TIDAK BERPOTENSI UPWELLING
5/8/2017,0.5,21.1,1.52,87.89,0.49,TIDAK BERPOTENSI UPWELLING
5/9/2017,0.36,20.55,0.42,87.72,0.64,TIDAK BERPOTENSI UPWELLING
5/10/2017,0.38,19.85,6.32,87.85,0.73,TIDAK BERPOTENSI UPWELLING
5/11/2017,0.44,19.59,15.03,87.87,0.7,TIDAK BERPOTENSI UPWELLING
5/12/2017,0.55,19.7,11.69,87.84,0.8,TIDAK BERPOTENSI UPWELLING
5/13/2017,0.43,19.83,3.86,87.77,0.91,TIDAK BERPOTENSI UPWELLING
5/14/2017,0.47,20.62,2.2,87.77,0.77,TIDAK BERPOTENSI UPWELLING
5/15/2017,0.49,20.1,0.73,87.75,0.88,TIDAK BERPOTENSI UPWELLING
5/16/2017,0.47,20.81,0.15,87.68,0.95,TIDAK BERPOTENSI UPWELLING
5/17/2017,0.47,20.47,30.2,87.76,0.99,BERPOTENSI UPWELLING
5/18/2017,0.31,20.18,4.14,87.84,0.66,TIDAK BERPOTENSI UPWELLING
5/19/2017,0.48,20.58,41.16,87.83,0.5,BERPOTENSI UPWELLING
5/20/2017,0.47,20.47,10.27,87.76,0.9,TIDAK BERPOTENSI UPWELLING
5/21/2017,0.33,20.3,22.45,87.72,0.88,TIDAK BERPOTENSI UPWELLING
5/22/2017,0.46,19.48,7.55,87.78,1.06,TIDAK BERPOTENSI UPWELLING
5/23/2017,0.44,19.93,8.22,87.8,0.94,TIDAK BERPOTENSI UPWELLING
5/24/2017,0.38,20.13,5.87,87.78,0.94,TIDAK BERPOTENSI UPWELLING
5/25/2017,0.51,20.55,0.52,87.77,0.84,TIDAK BERPOTENSI UPWELLING
5/26/2017,0.56,20.18,0.03,87.79,0.85,TIDAK BERPOTENSI UPWELLING
5/27/2017,0.5,20.1,0,87.77,0.94,TIDAK BERPOTENSI UPWELLING
5/28/2017,0.52,19.62,0,87.78,0.9,TIDAK BERPOTENSI UPWELLING
5/29/2017,0.56,19.68,0,87.78,0.76,TIDAK BERPOTENSI UPWELLING
5/30/2017,0.43,19.13,1.53,87.91,0.98,TIDAK BERPOTENSI UPWELLING
5/31/2017,0.48,18.12,1.87,87.96,1,TIDAK BERPOTENSI UPWELLING
6/1/2017,0.62,19.48,0.97,87.92,1.15,TIDAK BERPOTENSI UPWELLING
6/2/2017,0.55,19.45,0.23,87.98,1.05,TIDAK BERPOTENSI UPWELLING
6/3/2017,0.53,19.18,58.16,88,0.99,BERPOTENSI UPWELLING
6/4/2017,0.59,19.63,2.71,87.93,0.84,TIDAK BERPOTENSI UPWELLING
6/5/2017,0.55,19.53,0,87.93,0.91,TIDAK BERPOTENSI UPWELLING
6/6/2017,0.52,19.46,0,87.94,1.09,TIDAK BERPOTENSI UPWELLING
